track_number,title,lyrics
,Além dos Outdoors,"3 Contributors
Além dos Outdoors Lyrics
“Além dos Outdoors,” posteriormente revitalizada no acústico Filmes de Guerra, Canções de Amor, fala sobre como as mensagens que Humberto Gessinger quer passar em suas músicas não chega no grande público por…
Read More
[Letra de ""Além dos Outdoors""]
[Intro]
Além dos outdoors, além dos outdoors
Além dos outdoors
[Verso 1]
No ar da nossa aldeia, há rádio, cinema e televisão
Mas o sangue só corre nas veias por pura falta de opção
As aranhas não tecem suas teias por loucura ou por paixão
Se o sangue ainda corre nas veias, é por pura falta de opção
[Refrão]
Você sabe, o que eu quero dizer não tá escrito nos outdoors
Por mais que a gente grite, o silêncio é sempre maior
Você sabe, o que eu quero dizer não tá escrito nos outdoors
Por mais que a gente grite, o silêncio é sempre maior
[Verso 2]
No céu, além de nuvens, há sexo, drogas e palavrões
As coisas mudam de nome, mas continuam sendo religiões
No dia-a-dia da nossa aldeia, há infelizes enfartados de informação
As coisas mudam de nome, mas continuam sendo o que sempre serão
[Refrão]
Você sabe, o que eu quero dizer não tá escrito nos outdoors
Por mais que a gente grite, o silêncio é sempre maior
Você sabe, o que eu quero dizer não vale uma canção
Por mais que a gente cante, o silêncio é sempre maior
[Verso 3]
No ar da nossa aldeia, há mais do que poluição
Há poucos que já foram e muitos que nunca serão
As aranhas não tecem suas teias por loucura ou por paixão
Se o sangue ainda corre nas veias é por pura falta de opção
[Refrão]
Você sabe, o que eu quero dizer não tá escrito nos outdoors
Por mais que a gente grite, o silêncio, o silêncio, o silêncio, o silêncio
Você sabe, o que eu quero dizer não vale uma canção
Por pura falta de opção, púrpura é a cor do coração
[Saída]
Você sabe o que eu quero dizer
Você sabe o que eu quero saber
Você sabe o que eu sei, o que eu quero saber
Você sabe saber o que eu quero dizer
Além dos outdoors, você sabe
Você sabe o que eu quero saber
O que eu quero dizer o que eu quero
Você sabe o que eu sei, você sabe o que eu sei"
,"Além dos Outdoors [Acústico Filmes de Guerra, Canções de Amor]","1 Contributor
Além dos Outdoors [Acústico Filmes de Guerra, Canções de Amor] Lyrics
[Letra da versão acústica de ""Além dos Outdoors""]
[Verso 1]
No ar da nossa aldeia, há rádio, cinema e televisão
Mas o sangue só corre nas veias por pura falta de opção
As aranhas não tecem suas teias por loucura ou por paixão
Se o sangue ainda corre nas veias é por pura falta de opção
No céu, além de nuvens, há sexo, drogas e talkshows
As coisas mudam de nome, mas continuam sendo religiões
No dia-a-dia da nossa aldeia há infelizes enfartados de informação
As coisas mudam de nome, mas continuam sendo o que sempre serão
[Refrão]
Você sabe, o que eu quero dizer não tá escrito nos outdoors
Por mais que a gente cante, o silêncio é sempre maior
Você sabe, o que eu quero dizer não tá escrito nos outdoors
Por mais que a gente grite, o silêncio é sempre maior
[Verso 2]
No ar da nossa aldeia, há mais do que poluição
Há poucos que já foram e muitos que nunca serão
As aranhas não tecem suas teias por loucura ou por paixão
Se o sangue ainda corre nas veias é por pura falta de opção
[Refrão]
Você sabe, o que eu quero dizer não tá escrito nos outdoors
Por mais que a gente cante, o silêncio é sempre maior
Você sabe, o que eu quero dizer não cabe na canção
Por pura falta de opção, púrpura é a cor do coração, o coração
[Solo de Guitarra]
[Saída]
Você sabe, o que eu quero dizer nunca foi dito num talkshow
Por mais que a gente grite, o silêncio, o silêncio, o silêncio, o silêncio"
,Algo Por Você,"1 Contributor
Algo Por Você Lyrics
[Letra de ""Algo Por Você""]
[Intro]
Um, dois, um, dois, três, quatro
[Verso 1]
Hey, garota, não fique esperando o telefone tocar
Os homens são o que são e são todos iguais
O difícil é saber quem é clone de quem
Quem é clone de quem, quem é clone de quem
Hey, garota, não fique esperando o telefone tocar
De volta ao passado, tecendo tapetes
Esperando o guerreiro voltar
[Refrão]
Já lhe fizeram sofrer demais
Já lhe fizeram feliz demais
Tá na hora de você mesma fazer algo por você
Só você pode fazer
[Solo de Guitarra]
[Verso 2]
Hey, garota, o dia já passou, não deixe a noite passar
Passe um batom, ou não, e vá se divertir
Você vai descobrir quem é clone de quem
Quem é clone de quem, quem é clone de quem
Mas quem é clone de quem, quem é clone de quem
[Refrão]
Já lhe fizeram sofrer demais
Já lhe fizeram feliz demais
Tá na hora de você mesma fazer algo por você
Só você pode fazer
[Saída]
Hey, garota, faça um favor
Não fique esperando, faça algo por você
Hey, garota, faça um favor
Não fique esperando, faça algo por você
Não fique esperando, faça algo por você
Faça algo por você, faça algo por você
Faça algo por você
Só você pode fazer, mas só você pode fazer
Algo por você, só você pode fazer"
,Alívio Imediato,"3 Contributors
Alívio Imediato Lyrics
[Letra de ""Alívio Imediato""]
[Verso 1]
O melhor esconderijo, a maior escuridão
Já não servem de abrigo, já não dão proteção
A Líbia é bombardeada, a libido e o ví­rus
O poder, o pudor, os lábios e o batom
O melhor esconderijo, a maior escuridão
Já não servem de abrigo, já não dão proteção
A Líbia é bombardeada
, a libido e o ví­rus
O poder, o pudor, os lábios e o batom
[Refrão]
Que a chuva caia como uma luva, um diluvio, um delírio
Que a chuva traga alívio imediato
Que a noite caia, de repente caia, tão demente quanto um raio
Que a noite traga alí­vio imediato
[Verso 2]
Há espaço pra todos, há um imenso vazio
Nesse espelho quebrado por alguém que partiu
A noite cai de alturas impossíveis
E quebra o silencio e parte o coração
Há um muro de concreto entre nossos lábios
Há um muro de Berlim dentro de mim
Tudo se divide, todos se separam
Duas Alemanhas, duas Coreias, tudo se divide, todos se separam
[Refrão]
Que a chuva caia como uma luva, um diluvio, um delírio
Que a chuva traga alívio imediato
Que a noite caia, de repente caia, tão demente quanto um raio
Que a noite traga alí­vio imediato
[Solo de Guitarra]
Todos se separam
Tudo se divide, todos se separam
[Refrão]
Que a chuva caia como uma luva, um diluvio, um delírio
Que a chuva traga alívio
Que a noite caia, de repente caia, tão demente quanto um raio
Que a noite traga alí­vio
E, alívio, e, alívio"
,"Alívio Imediato [Acústico Filmes de Guerra, Canções de Amor]","3 Contributors
Alívio Imediato [Acústico Filmes de Guerra, Canções de Amor] Lyrics
[Letra da versão acústica de ""Alívio Imediato""]
[Verso]
O melhor esconderijo, a maior escuridão
Já não servem de abrigo, já não dão proteção
Holofotes iluminam a libido e o ví­rus
O alibi perdido, elo de ligação
Só um muro de batom e frases sem fim
É que tudo se divide, todos se separam
Uma república no pampa com pompa e circustância
Um muro nos divide, uma grade nos separa
O melhor esconderijo, a maior escuridão
Já não servem de abrigo, já não dão proteção
A noite cai de alturas clandestinas
Cai o aparelho, o espelho vai ao chão
[Refrão]
Que a chuva caia como uma luva, um diluvio, um delírio
Que a chuva traga alívio imediato
Que a noite caia, de repente caia, tão demente quanto um raio
Que a noite traga alí­vio imediato
Que a chuva caia como uma luva, um diluvio, um delírio
Que a chuva traga alívio imediato
Que a noite caia, de repente caia, tão demente quanto um raio
Que a noite traga alí­vio imediato
[Saída]
E que os muros e as grades caiam"
,Alívio Imediato [Acústico Novos Horizontes],"2 Contributors
Alívio Imediato [Acústico Novos Horizontes] Lyrics
[Letra da versão acústica de ""Alívio Imediato""]
[Verso 1]
O melhor esconderijo, a maior escuridão
Já não servem de abrigo, já não dão proteção
A Líbia é bombardeada
,
a libido e o ví­rus
O poder, o pudor, os lábios e o batom
Há um muro de concreto entre nossos lábios
Há um muro de Berlim dentro de mim
Tudo se divide, todos se separam
A diferença é o que temos em comum
[Refrão]
Que a chuva caia como uma luva, um diluvio, um delírio
Que a chuva traga alívio imediato
Que a noite caia, de repente caia, tão demente quanto um raio
Que a noite traga alívio imediato
[Verso 2]
Há espaço pra todos, há um imenso vazio
Nesse espelho quebrado por alguém que partiu
A noite cai de alturas impossí­veis
E quebra o silencio e parte o coração
Não há nada de concreto entre nossos lábios
Só um muro de batom e frases sem fim
Holofotes nos meu olhos cegam mais do que iluminam
Nem caiu a ficha e já caiu a ligação
[Refrão]
Que a chuva caia como uma luva, um diluvio, um delírio
Que a chuva traga alívio imediato
Que a noite caia, de repente caia, tão demente quanto um raio
Que a noite traga alívio imediato
[Solo de Gaita]
[Refrão]
Que a chuva caia como uma luva, um diluvio, um delírio
Que a chuva traga alívio imediato
Que a noite caia, de repente caia, tão demente quanto um raio
Que a noite traga alívio imediato"
,Alívio Imediato/Ilex Paraguariensis [Ao Vivo 10.000 Destinos],"1 Contributor
Alívio Imediato/Ilex Paraguariensis [Ao Vivo 10.000 Destinos] Lyrics
[Letra da versão ao vivo de ""Alívio Imediato"" e ""Ilex Paraguariensis""]
[Verso]
Hoje eu acordei mais cedo, tomei sozinho o chimarrão
Procurei a noite na memória, procurei em vão
Hoje eu acordei mais leve, nem li o jornal
Tudo deve estar suspenso, nada deve pesar
Ainda era noite, esperei o dia amanhecer
Como quem aquece a água sem deixar ferver
Hoje eu acordei, agora eu sei viver no escuro
Até que a chama se acenda
Verde, quente, erva, ventre, dentro, entranhas
Mate amargo noite adentro estrada estranha
[Pré-Refrão]
O melhor esconderijo, a maior escuridão
Já não servem de abrigo, já não dão proteção
Holofotes iluminam a libido e o vírus
O poder, o pudor, os lábios e o batom
[Refrão]
Que a chuva caia como uma luva, um dilúvio, um delírio
Que a chuva traga alívio imediato
Que a noite caia, de repente caia, tão demente quanto um raio
Que a noite traga alívio imediato, uh-uh, uh, uh
[Saída]
Ilex paraguarienses
Ilex paraguarienses
Ilex paraguarienses
Relax, agora, paciência"
,Alucinação,"1 Contributor
Alucinação Lyrics
[Letra de ""Alucinação""]
[Intro]
Eu não tô interessado em nenhuma teoria
Em nenhuma fantasia nem no algo mais
Longe o profeta do terror que a laranja mecânica anuncia
Amar e mudar as coisas me interessa mais
Muito mais, me interessa
[Verso 1]
Eu não tô interessado em nenhuma teoria
Nessas coisas do oriente, romances astrais
Minha alucinação é suportar o dia-a-dia
Meu delírio é a experiência com coisas reais
Um preto, um pobre, um estudante, uma mulher sozinha
Blue jeans e motocicletas, pessoas cinzas normais
Garotas dentro da noite, revólver, cheira cachorro
Os humilhados do parque com os seus jornais
Me interessam
[Refrão]
Amar e mudar as coisas, amar e mudar as coisas me interessa mais
Amar e mudar as coisas, amar e mudar as coisas me interessa mais
[Ponte]
Um corpo cai do oitavo andar
A solidão das pessoas nessas capitais
A violência da noite o movimento do trâfego
Amar e mudar, amar e mudar
[Refrão]
Amar e mudar as coisas, amar e mudar as coisas me interessa mais
[Verso 3]
Eu não tô interessado em nenhuma teoria
Em nenhuma fantasia, nem no algo mais
Longe o profeta do terror que a laranja mecânica anuncia
Amar e mudar as coisas me interessa mais
[Refrão]
Amar e mudar as coisas, amar e mudar as coisas me interessa mais
Amar e mudar as coisas, amar e mudar as coisas me interessa mais
Amar e mudar as coisas, amar e mudar as coisas me interessa mais
Amar e mudar, amar e mudar"
,A Montanha,"1 Contributor
A Montanha Lyrics
[Letra de ""A Montanha""]
[Verso 1]
Nem tão longe que eu não possa ver, nem tão perto que eu possa tocar
Nem tão longe que eu não possa crer que um dia chego lá
Nem tão perto que eu possa acreditar que o dia já chegou
[Refrão]
No alto da montanha, num arranha-céu
No alto da montanha, num arranha-céu
[Verso 2]
Se eu pudesse, ao menos, te contar o que se enxerga lá do alto
Com o céu aberto, limpo e claro, ou com os olhos fechados
Se eu pudesse, ao menos, te levar comigo lá
[Refrão]
Pro alto da montanha, num arranha-céu
Pro alto da montanha, num arranha-céu
Sem final feliz ou infeliz, atores sem papel
No alto da montanha, à toa, ao léu
[Ponte]
Nem tão longe, impossível
Nem tampouco lá, já
[Solo de Guitarra]
[Refrão]
No alto da montanha, num arranha-céu
No alto da montanha, num arranha-céu
Sem final feliz ou infeliz, atores sem papel
No alto da montanha, num arranha-céu"
,A Montanha [Acústico Novos Horizontes],"1 Contributor
A Montanha [Acústico Novos Horizontes] Lyrics
[Letra da versão acústica de ""A Montanha""]
[Verso 1]
Nem tão longe que eu não possa ver, nem tão perto que eu possa tocar
Nem tão longe que eu não possa crer que um dia chego lá
Nem tão perto que eu possa acreditar que o dia já chegou
[Refrão]
No alto da montanha, num arranha-céu
No alto da montanha, num arranha-céu
[Verso 2]
Se eu pudesse, ao menos, te contar o que se enxerga lá do alto
Com céu aberto, limpo e claro ou com os olhos fechados
Se eu pudesse, ao menos, levar todos vocês comigo
[Refrão]
Pro alto da montanha, num arranha-céu
Pro alto da montanha, num arranha-céu
Sem final feliz ou infeliz, atores sem papel
Do alto da montanha, à toa, ao léu
[Ponte Instrumental]
[Refrão]
No alto da montanha, num arranha-céu
No alto da montanha (Num arranha-céu)"
,A Montanha [Ao Vivo 10.000 Destinos],"1 Contributor
A Montanha [Ao Vivo 10.000 Destinos] Lyrics
[Letra da versão ao vivo de ""A Montanha""]
[Intro]
Atenção, atenção. Chegou a hora. O bicho vai pegar. Ao vivo e agora, Engenheiros do Hawaii
[Verso 1]
Nem tão longe que eu não possa ver, nem tão perto que eu possa tocar
Nem tão longe que eu não possa crer que um dia chego lá
Nem tão perto que eu possa acreditar que o dia já chegou
[Refrão]
No alto da montanha, num arranha-céu
No alto da montanha, num arranha-céu
[Verso 2]
Se eu pudesse, ao menos, te contar o que se enxerga lá do alto
Com céu aberto, limpo e claro ou com os olhos fechados
Se eu pudesse, ao menos, te levar comigo lá
[Refrão]
Pro alto da montanha, num arranha-céu
Pro alto da montanha, num arranha-céu
Sem final feliz ou infeliz, atores sem papel
No alto da montanha, à toa, ao léu
[Ponte]
Nem tão longe, impossível
Nem tampouco lá, já, já
[Refrão]
No alto da montanha, num arranha-céu
No alto da montanha, num arranha-céu
Sem final feliz ou infeliz, atores sem papel
No alto da montanha (Num arranha-céu)
[Saída]
No alto da montanha, num arranha-céu
No alto da montanha (Num arranha-céu)"
,Ando Só,"3 Contributors
Ando Só Lyrics
“Ando Só” é inspirada no conto Pergunte ao Pó de John Fante, considerado uma obra-prima. Fala sobre o prazer e emoção de estar vivo. Os Engenheiros do Hawaii costumam citar muitas obras e filósofos em suas…
Read More
[Letra de ""Ando Só""]
[Intro]
Driver, follow that car
[Verso]
Ando só pois só eu sei
Pra onde ir, por onde andei
Ando só, nem sei por que
Não me pergunte o que eu não sei
Pergunte ao pó, desça ao porão
Siga aquele carro ou as pegadas que eu deixei
Pergunte ao pó por onde andei
Há um mapa dos meus passos nos pedaços que eu deixei
Desate o nó que te prendeu
A uma pessoa que nunca te mereceu
Desate o nó que nos uniu
Num desatino, um desafio
[Refrão]
Ando só, como um pássaro voando
Ando só, como se voasse em bando
Ando só, pois só eu sei andar sem saber até quando
Ando só
[Solo de Guitarra]
[Refrão]
Ando só, como um pássaro voando
Ando só, como se voasse em bando
Ando só, pois só eu sei andar sem saber até quando
Ando só"
